127.0.0.1 - - [18/Feb/2021:09:13:51 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:13:52 +0900] "GET /board/board/board.html HTTP/1.1" 200 3832
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:13:52 +0900] "GET /board/js/board.js HTTP/1.1" 200 5020
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:13:52 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:13:52 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:13:53 +0900] "POST /board/List.do HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:13:59 +0900] "GET /board/DeleteBoard.do?num=37 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:05 +0900] "GET /board/DeleteBoard.do?num=37 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:10 +0900] "GET /board/DeleteBoard.do?num=37 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:30 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:30 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:30 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:31 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:14:31 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:09 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:09 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:09 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:10 +0900] "POST /board/List.do HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:22:13 +0900] "GET /board/DeleteBoard.do?num=36 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:26:57 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:26:57 +0900] "GET /board/js/board.js HTTP/1.1" 200 5044
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:26:57 +0900] "POST /board/List.do HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:08 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:08 +0900] "GET /board/js/board.js HTTP/1.1" 200 5058
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:08 +0900] "POST /board/List.do HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:08 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:08 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:08 +0900] "POST /board/List.do HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "POST /board/List.do HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "POST /board/List.do HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2021:09:37:09 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
