127.0.0.1 - - [22/Feb/2021:09:04:43 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:43 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:43 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:43 +0900] "GET /board/js/board.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:43 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:04:44 +0900] "POST /board/List.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:05:11 +0900] "GET /board/ListReply.do?bonum=60 HTTP/1.1" 200 2136
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:05:11 +0900] "GET /board/updateHit.do?num=60 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:05:15 +0900] "GET /board/updateHit.do?num=61 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:05:15 +0900] "GET /board/ListReply.do?bonum=61 HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:12 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:12 +0900] "POST /board/List.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:13 +0900] "GET /board/ListReply.do?bonum=61 HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:13 +0900] "GET /board/updateHit.do?num=61 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:15 +0900] "GET /board/board/board.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:15 +0900] "POST /board/List.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:17 +0900] "GET /board/ListReply.do?bonum=61 HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:17 +0900] "GET /board/updateHit.do?num=61 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:19 +0900] "GET /board/board/board.html HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:19 +0900] "GET /board/js/jquery.serializejson.min.js HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:19 +0900] "GET /board/js/board.js HTTP/1.1" 200 7197
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:19 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:19 +0900] "POST /board/List.do HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:20 +0900] "GET /board/updateHit.do?num=61 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:20 +0900] "GET /board/ListReply.do?bonum=61 HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:22 +0900] "GET /board/updateHit.do?num=61 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [22/Feb/2021:09:06:22 +0900] "GET /board/ListReply.do?bonum=61 HTTP/1.1" 200 329
