127.0.0.1 - - [13/Jan/2021:08:44:43 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:44:44 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:44:44 +0900] "GET /webpro/images/spongebob.png HTTP/1.1" 200 535569
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:44:44 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:01 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:14 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:15 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:15 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:20 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:20 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:20 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:26 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:26 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:27 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:27 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:27 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:27 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:38 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:38 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jan/2021:08:45:39 +0900] "GET /webpro/0112/MyBlogPage.html HTTP/1.1" 304 -
